,hospital,school,supermarket
2021-01-05 01:00:00,65.72,63.62,58.71
2021-01-05 01:15:00,65.14,62.692499999999995,64.9425
2021-01-05 01:30:00,64.56,61.765,71.175
2021-01-05 01:45:00,63.98,60.8375,77.4075
2021-01-05 02:00:00,63.4,59.91,83.64
2021-01-05 02:15:00,63.067499999999995,61.12,83.34
2021-01-05 02:30:00,62.735,62.33,83.03999999999999
2021-01-05 02:45:00,62.4025,63.54,82.74
2021-01-05 03:00:00,62.07,64.75,82.44
2021-01-05 03:15:00,92.05250000000001,63.6475,80.545
2021-01-05 03:30:00,122.035,62.545,78.65
2021-01-05 03:45:00,152.0175,61.4425,76.755
2021-01-05 04:00:00,182.0,60.34,74.86
2021-01-05 04:15:00,183.195,61.44500000000001,80.805
2021-01-05 04:30:00,184.39,62.550000000000004,86.75
2021-01-05 04:45:00,185.585,63.655,92.695
2021-01-05 05:00:00,186.78,64.76,98.64
2021-01-05 05:15:00,250.6075,74.77250000000001,126.4275
2021-01-05 05:30:00,314.435,84.785,154.215
2021-01-05 05:45:00,378.2625,94.7975,182.0025
2021-01-05 06:00:00,442.09,104.81,209.79
2021-01-05 06:15:00,474.835,151.43,207.6325
2021-01-05 06:30:00,507.58000000000004,198.05,205.475
2021-01-05 06:45:00,540.325,244.67000000000002,203.3175
2021-01-05 07:00:00,573.07,291.29,201.16
2021-01-05 07:15:00,582.97,310.93,254.4975
2021-01-05 07:30:00,592.87,330.57000000000005,307.835
2021-01-05 07:45:00,602.77,350.21000000000004,361.1725
2021-01-05 08:00:00,612.67,369.85,414.51
2021-01-05 08:15:00,622.4549999999999,369.83000000000004,440.42499999999995
2021-01-05 08:30:00,632.24,369.81,466.34
2021-01-05 08:45:00,642.025,369.78999999999996,492.255
2021-01-05 09:00:00,651.81,369.77,518.17
2021-01-05 09:15:00,655.4649999999999,371.1525,512.0325
2021-01-05 09:30:00,659.1199999999999,372.53499999999997,505.895
2021-01-05 09:45:00,662.775,373.9175,499.7575
2021-01-05 10:00:00,666.43,375.3,493.62
2021-01-05 10:15:00,669.145,375.52750000000003,512.9775
2021-01-05 10:30:00,671.8599999999999,375.755,532.335
2021-01-05 10:45:00,674.5749999999999,375.98249999999996,551.6925
2021-01-05 11:00:00,677.29,376.21,571.05
2021-01-05 11:15:00,671.4775,375.9575,558.3499999999999
2021-01-05 11:30:00,665.665,375.705,545.65
2021-01-05 11:45:00,659.8525,375.4525,532.95
2021-01-05 12:00:00,654.04,375.2,520.25
2021-01-05 12:15:00,664.085,373.79499999999996,518.1275
